,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
조사,0.009017626650807157,0.005863522664963017,0.0050707690121960065,0.004213743915293316
숫자,0.009008814935717209,0.006498953659875647,0.0037735156977277483,0.0041682709639388645
생명,0.009003738457411281,0.005221666805709169,0.0063180354929898725,0.004263392106620884
걱정,0.009002105954078231,0.007426713283494981,0.008296026260663164,0.008809788819555447
경제,0.008940922602119985,0.007984964957991551,0.006668121645333036,0.006803750353005058
대응,0.008931824965647804,0.004132050347989006,0.0033211827255418317,0.0037479051407939023
학습,0.0031774442262188043,0.005996547756265965,0.00892846824720805,0.0034932381013136012
학종,0.001878465834843226,0.005015870826649157,0.007048053701260638,0.00883701534946831
유급,0.0028059133809173764,0.004329425043331095,0.005054912471795671,0.008784358585617165
공유,0.004681126807136942,0.004836978660185079,0.005876334298825143,0.008768634965099876
사탐,0.0014269046075244384,0.003207315594810921,0.00466244716926177,0.008761273220851037
이슈,0.008735825920156986,0.006445458337872377,0.006715010325195529,0.005748796005177106
공공,0.008071779650073569,0.004931373762141324,0.0059305205880644685,0.008691476082417507
업무,0.008690396468483805,0.003339830913003474,0.0034289431351153,0.0016744203985041292
체계,0.00868939218895226,0.004511876835711053,0.004792399322051214,0.0030401201798815496
대한민국,0.008680134107791488,0.006038347047830579,0.006130629488358803,0.005176869386025824
동결,0.0023880586422303516,0.0017804165465337303,0.0009626407854414481,0.008674581289055744
말씀,0.006845586405153949,0.006289962745671808,0.0074466368476253575,0.008631392884133964
논의,0.007981869771205592,0.008627081132441532,0.007519452312833269,0.004778256046008568
대화,0.008621885769904015,0.005927198163093462,0.0037327293400158793,0.002285485247535394
일본,0.008518882321205961,0.0055671196847883265,0.004571205153098956,0.0026685339164573127
개선,0.008514655241989022,0.004750781526168662,0.004794952710154385,0.003993311935569496
선배,0.0022952067820217535,0.0013841293352720645,0.0023604121872896327,0.008473506157334451
거부,0.004963194982085097,0.0049112079614087025,0.005639454972932333,0.00845010725637901
본인,0.006826714291167685,0.0054955555458578095,0.007142760215166574,0.008443273335921766
지지,0.008415673787730064,0.005860184249859625,0.0063884126857014735,0.004781668608938432
기각,0.00018520128667358186,0.00838894451026911,0.0008769268512105753,0.0010324710597752302
자유,0.005602194439151402,0.006748760237106497,0.006315459263098835,0.008371904214385337
회원,0.005228237442299938,0.0054994130159151024,0.004261769205877327,0.008322563262253517
의학,0.008318225520183575,0.006218832116058825,0.007940416724180034,0.005044353818744931
미래,0.00827491567880284,0.006875864292842378,0.006655978061113746,0.0074623606195228795
우리나라,0.008263962234376927,0.005532118730032606,0.004527992201506297,0.00427470118599342
미용,0.008263936966368035,0.002420239373004003,0.0023875853612582024,0.0023944487181977356
기피,0.00826347318858503,0.0016340620195616857,0.0020062133524138864,0.002952178082856539
행복,0.006748929141458705,0.008252853273243729,0.004419043985544671,0.003311290383120935
혼란,0.005011077258620599,0.005663655424491372,0.004208178419288681,0.008243297408224971
요강,0.001698174325158865,0.008211085623626609,0.004302959715765353,0.00445968412705401
평원,0.0006776582487120962,0.0010701362594784307,0.008198394457536926,0.0033121408985202156
얘기,0.007919020089764636,0.0058002931034515995,0.006682890542817241,0.00817950437997129
국회,0.003061544709628011,0.005915429966466459,0.008174943356583825,0.0044747079853123374
방안,0.008167419836850816,0.0040215683746308685,0.003971076377789663,0.003143990144975386
정리,0.0058318790641725725,0.00623796846698733,0.005071068801493116,0.008162294118005047
전문,0.007455008202205829,0.008158661586895969,0.006048770610963277,0.004806852510604494
분야,0.008150816038464816,0.005963961043115556,0.004782938447396683,0.0036720045134364635
삭제,0.0033292511848392243,0.005255235246844398,0.006065203921236908,0.008141076582531786
사태,0.007832205046908968,0.007428908537138719,0.008137904344755628,0.0051981234570978
응급,0.008106848254154413,0.0032150336608088694,0.008068802309605936,0.0024253479034982363
검토,0.004303451754783762,0.008059354303379495,0.004071569294224248,0.0031575003523936535
비율,0.006792760885627427,0.007525039303525901,0.006621345664551658,0.00805025884567838
밥그릇,0.00804571042457979,0.0028932270368221807,0.0019902759052080527,0.0020995072066408976
질문,0.004493737402179248,0.00459533595411775,0.006371805173688401,0.00802324901159355
계엄,0.00013245834299463442,1.8323896293157542e-05,0.0014226247456017632,0.00798921046658404
예비,0.0016234329462357022,0.001589339756092022,0.007914158517198656,0.005233569053266939
고민,0.00520546825080032,0.005205963765779565,0.007066355402353084,0.00790316112535277
수련,0.007884876326110747,0.005086825768050766,0.005774667191578933,0.0040557621893033005
평균,0.007801243932098326,0.005080968867290593,0.006400662813418839,0.005120427350531548
도움,0.004801638911318549,0.006475705226374433,0.006557737500216893,0.007778946877443265
변호사,0.007774590190184457,0.0039505883611627894,0.003473573821955486,0.0021532295252446416
선거,0.007760384312932009,0.007170680013826738,0.002796929608915727,0.00462274211565348
대선,0.0019658946608768764,0.001508250661448076,0.0017760483726427104,0.007759020306511937
시스템,0.007750966836998468,0.005566219311833161,0.0068765233114151236,0.005435105762456902
생기,0.0013836595518425204,0.00341548683028523,0.005237576371120188,0.007750362396981863
학기,0.0024482944315310914,0.0037064933525804656,0.007224613363728469,0.007746740895772444
지난해,0.005730268681434295,0.004228255161477335,0.0052312748413813675,0.007735516255013998
컨설팅,0.0032683872036942973,0.007726637335162304,0.007439133642948847,0.005550304176470732
개인,0.0077164914063024,0.005494099990550448,0.004980823997049147,0.005980590099121411
부모,0.004112496487465859,0.005291937462183285,0.005395521412518227,0.007711132428482158
요즘,0.0076725268803992585,0.005557588821126989,0.0055310854431681,0.0043889337009428205
시행,0.004487834373622084,0.007645391147053701,0.0035285691196735715,0.003118112697698345
패키지,0.007629202309901117,0.0033072175505959997,0.0012135133371663125,0.003108172598867664
예정,0.006397372083077237,0.007592806476939707,0.004587550683880629,0.004827448757722962
협회,0.00757847982661842,0.00432161972163893,0.0027234651838724975,0.0018336361439080847
회장,0.005895753263382046,0.007570810853980701,0.003437470689768031,0.0019028093600376413
투자,0.007539052656881065,0.006434724686746855,0.005479125021283452,0.004354005748913187
민영,0.0075031713790820066,0.002392671758638053,0.00544318616352012,0.0038596408376626737
정상,0.003965329680905127,0.005357077790113249,0.005461171380791918,0.00749150591818982
한동훈,0.00398933235433404,0.003178204937660276,0.007479384262386912,0.003847448369349399
졸업,0.006701001568981305,0.005288008248123275,0.0074188157676891055,0.005708547156464564
하락,0.005308458945795643,0.0054356514116058845,0.005802878012038076,0.007358578481866796
지원자,0.0022160594730299154,0.002663569579264758,0.0073563534432988355,0.005792564843300842
여론,0.007350276309576973,0.0037233405196076693,0.004016985577158872,0.0031412062033469032
일반고,0.0014664239753144719,0.003293707922811276,0.004304976945219321,0.007333558422401697
우려,0.00731300636142241,0.005591807440741214,0.004761900616292341,0.0045058287525002105
반수,0.004050424559805512,0.0062521126305627355,0.005266184271307459,0.007304468124306636
작성,0.004322545560653004,0.0041329822489864524,0.007299340021923585,0.0070392872033730545
상승,0.007228412529559195,0.006969697886555712,0.006988629688219407,0.007293852709531382
연봉,0.0072711893110553845,0.004065546599356716,0.003715647381899341,0.003928007798023139
피해,0.007265427459316497,0.005297775552135525,0.005111173349102611,0.005512574996561614
명령,0.007264635649180793,0.0038440481410965312,0.0017527159251655828,0.0010372624594760418
위원회,0.004607361753853032,0.007254418309242822,0.005178404788758257,0.003135960512570416
