,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
본인,0.00669864896316634,0.005430271169451013,0.007070569273926437,0.008379560944333737
체계,0.008347392795957566,0.004350481157754559,0.004616481400477772,0.0029442114694147154
자유,0.005537254153658305,0.006715062447484074,0.006279027125888982,0.008338895916033739
기각,0.00018457336792049883,0.008323133994786961,0.0008731628656635881,0.0010312937302381468
회원,0.005183067754289281,0.005468473160261919,0.004251216180905381,0.008296208441930604
지지,0.00829580906941188,0.005802744288363237,0.0063340261516412096,0.00474997623318157
혼란,0.004922106121754909,0.005616172927349745,0.004174007959704508,0.008222863844492601
개선,0.008211342168507779,0.004589918175362885,0.004676844791408233,0.0038731415711590073
행복,0.006645011325659679,0.008196513428668178,0.004395045969140275,0.0032930382982924427
요강,0.0016934516420261721,0.008177314154636503,0.004291491607720241,0.004458905128252323
의학,0.008171459451808222,0.006141806072937828,0.007846156173636527,0.004998399428775489
평원,0.0006680007195775186,0.0010628220978038821,0.008162388111880518,0.003271986413938562
정리,0.005754067583195105,0.006205953953399642,0.0050462990632758374,0.008136929417735967
얘기,0.0077705248901085554,0.005733046280048987,0.006603267196058136,0.008132524228042916
미래,0.008111609630192047,0.006774152524496789,0.006586861537314015,0.00742004957336473
삭제,0.0033071809648046006,0.005228885129822942,0.006039485237453584,0.00810404802508664
국회,0.003021630513572711,0.005864841369269813,0.00810333285078921,0.004447780770586832
기피,0.008052649788711612,0.001594250307780159,0.001963186624151459,0.002896891208907251
비율,0.0067318148169696265,0.007494087537797167,0.006579329047110466,0.008040165541700416
미용,0.008033352550501426,0.002351431858664826,0.002328702994966557,0.0023460622621034252
전문,0.0073183471993561065,0.008032002997387006,0.005963729522992678,0.004769353604964882
우리나라,0.008025736020142489,0.005404944077896164,0.004422504088083787,0.00420627831454757
질문,0.004457019587745202,0.004579621435904345,0.006341039529959474,0.008008557165873117
사태,0.007661467960249007,0.007268508415927352,0.00799171269550302,0.005129044257906741
계엄,0.00013205343597265373,1.8170665825728334e-05,0.0014159787669066116,0.00796874019157186
검토,0.004225727830302914,0.007964048882968056,0.004010022242115142,0.0031328998188213833
방안,0.007963620818332356,0.0039234507651318366,0.0038877170679303993,0.0031073296958659393
분야,0.007904988014843498,0.005831409795599209,0.004716048111783419,0.0036187055778196526
예비,0.0016127652413827041,0.0015858125394410671,0.007902138012847431,0.00522721044249245
밥그릇,0.007893752798726264,0.0028180714282274593,0.0019515415724819564,0.002071190076188879
응급,0.007876140932877496,0.0031124415196439547,0.007798863709095826,0.002344677243031123
고민,0.005146089170497419,0.005175839079393793,0.007034299735371654,0.00786495393120175
도움,0.004739084013539324,0.00643159635413423,0.00651686241574802,0.007764333577440076
생기,0.0013813217580901601,0.0034134934987915338,0.005236169563606089,0.007748613908426624
학기,0.002442859723200921,0.003699779301144904,0.007216340259424781,0.007740297957550271
대선,0.0019531697909980334,0.0015038952901540476,0.0017675908850725323,0.007711121161505114
컨설팅,0.0032517057325062233,0.007696837047009476,0.007436008490471066,0.005548905264585321
지난해,0.005689223329346096,0.004211081218140036,0.005209915242295489,0.0076912647072665315
선거,0.007690531324775669,0.00713645307613744,0.002776707110720608,0.004605945854482426
변호사,0.0076836221883134865,0.0039043392289408317,0.003423498383061935,0.002134657490368373
부모,0.004080588159572935,0.005264488094824799,0.005369613134842305,0.007677227595472311
평균,0.007649210099858376,0.005027882639605067,0.006350688537960513,0.005072927240169502
수련,0.007645197242847874,0.0049446139214866704,0.005614741357347684,0.003977030107680464
시행,0.004399171883318857,0.007579318425272108,0.0034974274341854875,0.003100141274759321
요즘,0.007570431295207567,0.00550627179025654,0.0054814644927373875,0.004360101815349934
개인,0.007567455985813489,0.005422396325267972,0.004934651378083243,0.005923362539505726
예정,0.006291680297430736,0.007535838269863098,0.004554327653176221,0.004809066926407707
회장,0.005777066671648666,0.007474455682848228,0.0033999011674528965,0.0018846192636536214
시스템,0.0074399946938110305,0.0054034642977791765,0.006670260147563727,0.005295400457718957
한동훈,0.003975562332793622,0.0031698699189422696,0.007437340253503829,0.0038465937049035597
정상,0.003871192936678059,0.005252343906048624,0.005371790271563388,0.007427558283645181
투자,0.007415452112785378,0.006392586851341268,0.005434284890951108,0.004316788449369375
협회,0.007401922858117335,0.004191378687251243,0.002676236831475399,0.0018174117988690452
졸업,0.006612579524311769,0.0052438550060245545,0.00736640271304801,0.005685634466947385
하락,0.005252523945249203,0.005426501699575168,0.005792851084731009,0.007352982985323416
지원자,0.0021791246905231887,0.0026558611141494154,0.007337359535647617,0.005786378518240011
일반고,0.0014631980992456987,0.003293493194306839,0.004304760719486471,0.0073320725532097135
패키지,0.007311499951921902,0.003236037581858105,0.0011831883315892282,0.0030496961864912788
반수,0.0040390472672131705,0.006243621225064499,0.005262459687567382,0.0072984873290634555
상승,0.00717431772913374,0.006949357559730027,0.00696600516676341,0.00727162455356483
작성,0.0042827320599053195,0.0041116547133302934,0.0072679014538056304,0.00700568742685744
민영,0.007226879738682325,0.0022971959756276786,0.005220096476437824,0.003768803724896872
여론,0.007225654893289354,0.003674619875422738,0.0039798237052627375,0.0031071687513983554
국어,0.002672668788283471,0.005659650920306438,0.007201059908884979,0.006764107755513332
위원회,0.0045217195316174085,0.007152368738928534,0.005104100649001759,0.003110257103848246
친구,0.0049824585524013,0.004940441644331372,0.0064748809634650436,0.00714334272209614
연봉,0.00714140430842104,0.003998082724493237,0.0036509969469548887,0.003887008670982916
우려,0.007122932239518037,0.005491948356682211,0.00469254528454419,0.004449757856358486
피해,0.007110825911797998,0.005205081404362418,0.0050469586238875465,0.005453607180009832
명령,0.007103589384052086,0.0037784131942919237,0.0017161021821392845,0.0010265673209694352
요구,0.005255897789934281,0.007066840059260671,0.005408300926266045,0.004026389551825547
선생,0.007053415197419762,0.006855763155691908,0.005531256695913723,0.006014239639784832
처분,0.0038344356928200264,0.007050372754885323,0.0025905480130314026,0.0023557752589845517
세계,0.007044556407418604,0.005701781157280537,0.005112761342230711,0.003320228957102475
자율,0.0012538138233319656,0.007042079817857797,0.0040003819995990016,0.0036721695904549764
황금,0.0007317059243855506,0.0006120639340361109,0.0012004739704693324,0.007015547050142649
취소,0.006872343297787922,0.00452629720009085,0.004905857391537871,0.007002908660789317
감소,0.005518799158794321,0.003949527073298411,0.003931882460025212,0.006977220304920211
현역,0.0035947066551455646,0.003147324423073472,0.0060149618620501,0.006936385669833187
자연,0.004920086060401852,0.004949550866257729,0.006290380556368976,0.006922463032530943
생기부,0.0005907404581975928,0.001126625703525324,0.0016914654739880707,0.006872384446399963
추천,0.0035677928249829953,0.005547638530183976,0.006808654424381977,0.0061801781267694965
반도체,0.0067842873083767625,0.004838637706268138,0.004458770945146825,0.0033763612536398765
연세대,0.004156802711133853,0.0043203326115222205,0.005301026255983292,0.0067814977049966575
인기,0.006779253296727666,0.0037017375024130847,0.0033422908156514448,0.00297577103143128
최대,0.006771975942641306,0.004867228699658493,0.004405864347059633,0.005128858892021142
현상,0.006768935302677487,0.0035454989580330173,0.0035855764296080636,0.004413807178642308
고대,0.0013151493590711878,0.001253394055525951,0.004049406911429856,0.006761428433070178
표현,0.0026518230740082463,0.004058952970387942,0.0050052819919562995,0.006754555663488194
기회,0.0058977478179580945,0.006333916754671487,0.006734721324576141,0.004907999965813073
재정,0.0067118278626444455,0.0034209818963622297,0.003892881123131189,0.0034467634364276217
추석,8.981641471214362e-05,4.033707497488217e-05,0.0067089326193432025,5.143551986959773e-05
강화,0.00669781187282639,0.003949313229097845,0.003756101050333642,0.00326068604989233
판단,0.004497861349496846,0.006691172054319143,0.004619248722604316,0.005372008957911014
제도,0.006689757419966247,0.005217877293858691,0.0050557023636507645,0.0050281411774661215
조정,0.006006662077085529,0.006683891246072349,0.004561902226831013,0.003891664819119001
갈등,0.00534657960413043,0.006646762297999443,0.0056867185555047935,0.005591952500140805
전망,0.006399812809060121,0.006643847065825111,0.004531639412583283,0.005020473223811444
민주당,0.0053389032564632915,0.006568439591580724,0.006134549002899751,0.006447400864281758
상담,0.002888361750758269,0.005200339135324868,0.006565460323980785,0.0043590462551208655
기존,0.005704580389511976,0.00509248519106649,0.00431239168998933,0.006547477654203128
사고,0.006541509808579574,0.0038665471523219607,0.004206018851510478,0.0025697416066385067
허용,0.0031219112836092244,0.0038552123121189793,0.00281932782554491,0.0064785711220214206
부동산,0.006448320104265823,0.006471315905758005,0.004937711966718726,0.0019266195867726468
중국,0.004559519029038161,0.006453045548674637,0.0036844531068048964,0.004983005066223293
총장,0.004121535592984587,0.006145481398459181,0.0033285059785814206,0.006398649724201695
고려,0.006392153259590796,0.0042366927748330105,0.00508491232668475,0.004829787196249656
