topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic,section,date,title
0.0662333236728154,0.0027354523061351565,0.7290616324074679,0.19921718669223754,0.0027524049213440032,2,1,2024-03-23,의대 정원 증원 전국 지도
0.0006801038830554097,0.0006822887447689788,0.043844585552554854,0.9541266126495717,0.0006664091700490138,3,1,2024-03-23,성균관대 의대 교수들의 이상한 대국민 입장문
0.000622521036558228,0.04719690305288937,0.015035077963300605,0.2744235758968563,0.6627219220503954,4,1,2024-03-23,탕자가 드린 예배 아버지 집과 같은 광진교회
0.00104588834297646,0.021080443294479178,0.0010384354466860196,0.8651516893048212,0.111683543611037,3,1,2024-03-22,이렇게 계속 가면 나라 반드시 망합니다
0.0011760133404260346,0.5100696034106015,0.001192554342607474,0.4565233488361658,0.031038480070199256,1,1,2024-03-22,의대 증원 왜 하필 지금
0.0012694165789306343,0.022724018626392898,0.001273123330698592,0.9734701949373983,0.0012632465265796156,3,1,2024-03-22,정부 면허정지 전공의 의사 못 된다
0.002079444006473994,0.002087852091979123,0.8968756908392276,0.09690925125636922,0.0020477618059500545,2,1,2024-03-22,2025학년도 의대 정원 대학별 배정결과
0.0007751004170866744,0.0007668524817157033,0.9969248439949631,0.0007627998838826933,0.0007704032223518197,2,1,2024-03-22,25년도 의대 증원 발표및 의대증원의 영향력
0.019338081294319198,0.0014581051939546084,0.0014609270823523776,0.9762953358082647,0.001447550621109124,3,1,2024-03-22,의대 증원 일본의대와 비교해보기
0.07242885945839071,0.046681216148303305,0.001968919795582116,0.8769878971212315,0.0019331074764924482,3,1,2024-03-22,의대증원에 필요한 교육 여건 개선에 전폭적으로 지원하겠습니다 의사 집단행동 중앙재난안전대책본부 정례브리핑
0.0006346672806561536,0.02183305998445087,0.08384274908138109,0.893050162779981,0.0006393608735310096,3,1,2024-03-22,의대 증원 반대 이유와 정부의 증원 정책 정리
0.00198497633397648,0.001976826013516386,0.9920726813260634,0.0019923075644245848,0.001973208762019082,2,1,2024-03-22,입시정보 지방대 의대만 증원 의대 쏠림 N수 반수 폭발적 증가 예상 에듀동아
0.0020497893501430823,0.002067922445895375,0.9917897765769743,0.0020477265808193828,0.002044785046167728,2,1,2024-03-22,베스트교육 수원금곡캠퍼스 2025학년 의대증원 최종 배정결과 발표
0.44807759318152346,0.0009545298624416381,0.5274426131986633,0.0009445609810765066,0.02258070277629517,2,1,2024-03-22,부동산 뉴스 의대정원 증원 지방국립대 연준 기준금리 동결 GTX A노선 30일 개통 4450원
0.0017392870602579026,0.9256024060497572,0.001723312896993802,0.001727001984585931,0.06920799200840524,1,1,2024-03-22,민주당 200석 과 맞바꾼 의대증원 2000명
0.11628178769906797,0.0016340535761060501,0.22920843214934875,0.6512452891461572,0.0016304374293200426,3,1,2024-03-22,의대 증원 지방 집중
0.002121883361373654,0.7437420423438598,0.002125148499386223,0.2498887034024825,0.0021222223928977707,1,1,2024-03-22,더불어민주연합 의대 증원 사회적 합의 후 조정 데일리팜 24 03 22
0.00115996028532149,0.0011543887588174925,0.04828614533556403,0.948246191447419,0.0011533141728779228,3,1,2024-03-22,의대증원을 지켜보는 의식의 흐름
0.0007193089332305257,0.3718209082713944,0.0007359311724973814,0.6260005697049832,0.0007232819178944305,3,1,2024-03-22,동아 조선 등 보수언론 정부 의대 2000명 증원 발표에 비판 돌아서
0.0024346858748518817,0.3969863847480901,0.0024443217896149504,0.10858555301960798,0.48954905456783504,4,1,2024-03-22,의대 증원 갈등 여파로 고윤정 주연 전공의생활 방영 연기
0.012819879204326156,0.012535848202672478,0.9495540608351319,0.012554475472448656,0.01253573628542081,2,1,2024-03-22,입시뉴스 의대증원 지방문호 대폭확대 부산대 경북대 등 7개 지거국 200명 정원에 지역인재 60 까지 확대되 빅5중 울산대 성균관대 최대 수혜 판도 바뀔수도
0.12055085894752184,0.0034490164498164055,0.8335842588196434,0.039052492923775696,0.0033633728592425264,2,1,2024-03-22,부산 의대 정원 증원 변화 2025학년도 대입부터 적용된다
0.5789804498034041,0.28275160598453253,0.01879652449874347,0.03713966471569802,0.0823317549976219,0,1,2024-03-22,금리인하 4월 총선 의대 증원 초고령사회
0.25679527674466096,0.002205910755929977,0.6519807814660158,0.08685182860828286,0.0021662024251104706,2,1,2024-03-22,전국 의대 정원 증원이 부동산에 미치는 영향
0.02748241277606129,0.8820445035546488,5.163638029555321e-05,5.1558829745033895e-05,0.09036988845924922,1,1,2024-03-22,3월 22일 시사 이슈
0.18856087753894687,0.052143130632258235,0.752375711701682,0.003496702302706016,0.0034235778244068936,2,1,2024-03-20,의대 증원 배정 확정 발표
0.03061949404204089,0.12050458772330598,0.32684144983646923,0.521518371784211,0.0005160966139728236,3,1,2024-03-20,의대 2000명 증원 지방 82 경인18 서울소재 의대는 0 명
0.0021652793876942443,0.0021632883396997056,0.9913493844955723,0.0021824907000159966,0.0021395570770176655,2,1,2024-03-20,의대입학 정원 2 000명 증원 각 대학별 배정 ft 2025년 입학 기준
0.17381473472057615,0.0015001567458337857,0.0014905135941759898,0.8216719571322811,0.001522637807132924,3,1,2024-03-17,의사 패턴 과거와 똑같아 증원 2000명 양보 없다 는 정부
0.0008429024751009497,0.4450392304299833,0.000847963043774263,0.5524113803407301,0.0008585237104113421,3,1,2024-03-17,개원의까지 집단행동 조짐 의협 선거 후 총파업 가능성도 종합
0.0025102197653260818,0.002501483021293559,0.430416699379307,0.26181580221143697,0.30275579562263644,2,1,2024-03-17,미라클 모닝 기록 3 11 3 17 feat 피곤함에 굴복한 주간
0.06847713468767795,0.21549916122950258,0.0007451873314521483,0.3159555760713106,0.3993229406800568,4,1,2024-03-17,사기탄핵과 불법탄핵 이후 윤석렬의 등장은 한국의 태극기 애국시민을 비겁자가 아니면 미치광이로 만들고 사기탄핵과 불법탄핵에서 박근혜 대통령을 변론했던 도태우 1366 밝갊삶
0.18528612792360902,0.05375341743215635,0.07308856273860709,0.6864405302238492,0.001431361681778287,3,1,2024-03-17,의사 하기가 싫어 용접을 배운다
0.0014279212028610697,0.14962453031525833,0.0014356619134130388,0.8460821073079153,0.0014297792605522889,3,1,2024-03-18,의대증원논란 전공의 집단사직 지지율 15 이탈 부적절 84 여론은 복귀하라
0.0012727391544399755,0.40206370134254577,0.5941276496471919,0.0012739538278618285,0.0012619560279602854,2,1,2024-03-18,의대 증원과 지방 유학의 뜨거운 바람 대치동에서 읍면까지
0.14277147635527168,0.001586812021162759,0.5981155461647194,0.25594601131366984,0.001580154145176286,2,1,2024-03-18,의대 증원 확신 수업거부 교수사직에도 식을 줄 모르는 입시 열풍
0.0004002796527512921,0.09630837952914693,0.000400527221031636,0.9024938192600562,0.00039699433701391034,3,1,2024-03-18,장관 병원장 간담회 정부 돌아오라 교수사직 우려 병원 하루20억 적자 교수들 사직 논의 의대학생 휴학 정부 원칙대로 증원없이 수가올리면 건보료 3 4배 올라 지방의대 24 3 18
0.031595096964493134,0.0684821263535686,0.0006872492887305191,0.8985523608585618,0.0006831665346459301,3,1,2024-03-18,의대 증원을 하지 말아야 할 이유는 없습니다
0.0012329096188137718,0.31457725312774176,0.3087231201837817,0.19268738531116844,0.1827793317584944,1,1,2024-03-18,초등논술 시사원정대 의대특집 너도나도 의대
0.7610214773134585,0.1772589568935533,0.0010112252516664589,0.05969188823034348,0.0010164523109783632,0,1,2024-03-18,경제 신문 읽기 20240318 지자체와 정치권 중심으로 의대 신설 요청 봇물
0.009322518285109813,0.009330865493949887,0.08228379080452701,0.8898096008601584,0.009253224556254843,3,1,2024-03-18,의대증원 이슈 이은혜 교수님
0.004923793986546829,0.004878488272779808,0.6240926402518414,0.06249059209967219,0.3036144853891598,2,1,2024-03-18,3등급도 갈 수 있는 의대가 있다
0.0006745383287159063,0.0006730071244158422,0.0856761503530594,0.9123041494246791,0.0006721547691298887,3,1,2024-03-18,의료 정원 늘렸던 일본 고령화 때문에 의대 정원 줄인다
0.0006493803628041281,0.2002514153095846,0.7978096801890536,0.0006433423529973841,0.0006461817855602116,2,1,2024-03-18,부천 신중동 상동 입시설명회 3월 29일 금요일 저녁 7시 Top Best 최고학원 초등부 중등부 입시설명회 28년도 대입개편안 분석 설명회
0.9130010727325056,0.0005326900484359584,0.0005351360136771142,0.0853963297173796,0.0005347714880016182,0,1,2024-03-18,우주 이야기 스타십 아르테미스 달 탐사 신냉전시대
0.0012084804113453647,0.0012114704928375861,0.9951330757655178,0.0012127665579300026,0.0012342067723693456,2,1,2024-03-17,내신 6등급도 의대 갈 수 있다 작년 강원도 지역인재 학종전형 4 16등급 의대 진학 강원도로 이사가세요
