,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
가정의학,8.890648095071914e-05,0.0,0.0,0.0
가정집,7.405279317483055e-05,5.428082442568181e-05,4.6796606632944084e-05,0.0
가정폭력,2.318016044462926e-05,0.0,4.115619142077508e-06,0.0
가정학,0.0,0.00014579372311354917,0.0,0.0
가족,0.0057011952148183125,0.00447287239196425,0.004222096755811268,0.0028455395006834862
가족력,1.6766573045480976e-05,7.50465254530849e-06,3.240960220071142e-05,4.412859117032578e-06
가족부,4.5535113748209254e-05,0.00012829158542305522,0.00010228999998315465,2.275346416697953e-05
가족사,3.4849430232787226e-05,3.0046089569937713e-05,0.0,0.0
가족사진,0.0,1.8002288487230162e-05,6.527505095821003e-06,0.0
가족주의,0.0,0.0,1.3315885934509289e-05,0.0
가좌,9.240585038920692e-07,0.00011324650712583321,9.263763115210111e-06,5.13612553503357e-05
가죽,3.737168287660601e-05,5.1808423507981874e-05,3.717779302130019e-05,0.0
가중,0.0011361092281754592,0.0007068755234161987,0.0010477650221944737,0.0017303786028975091
가즈,8.302303563839915e-05,0.00010327502335699164,0.0,4.428998109100051e-05
가즈아,0.0002892062018067162,0.0005742681431349754,0.0003476323764927857,4.689466115307181e-05
가즈오,1.054436099850479e-05,6.919746837151591e-06,1.1345445043515003e-05,0.0
가지,0.00014902786513441317,4.9997496909298786e-05,8.053587178730419e-05,5.1423694211195215e-05
가지가지,1.5989331745259988e-05,0.00012883543722012143,0.00031603139103498975,0.00013995913997137566
가지각색,0.0,4.3845164712189754e-05,1.8113481872413148e-05,2.7908443917115555e-05
가지치기,3.951410734806966e-05,1.7319281488744285e-05,1.2995690139246027e-05,0.0
가짜,0.0012911244363793017,0.0005636359168723017,0.0010579647413914738,0.0014106311267839604
가차,1.7757108438741642e-05,4.025774325433416e-05,0.00011564278353543804,0.0
가창력,0.0,2.074262501382836e-05,8.127679689960707e-06,0.0
가책,0.0,0.0,5.4782450722454895e-05,0.0
가천,0.0003022867052059967,0.00046611840096031363,0.0015711463668799574,0.0004946618020927409
가천길,0.0,4.578135572979577e-05,1.5300332431713544e-05,0.0
가천대,0.00254090676316404,0.0023143563446128327,0.00398847878398418,0.001951757709491163
가천대길병원,2.797535363311569e-05,0.0,4.430060743364238e-06,0.0
가천대학교,0.00019530544493496046,0.0003413638177821762,0.00042930941856133176,5.8646408650862444e-05
