,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
가천의,0.0,0.0,9.860956712142124e-05,0.0
가천의약학,0.0,6.542079931967441e-05,4.175546366080354e-06,0.0
가축,7.545809955515565e-05,4.596885616546509e-05,0.0001976993410627796,0.00041802086491407885
가출,5.945534300408627e-05,6.844646996201843e-05,5.1004210241380174e-05,4.680203953127604e-05
가치,0.003476421821210557,0.002798556713983215,0.002429827009967582,0.0022419037943999733
가치관,0.0004517030558852941,0.0006837726970061926,0.000393674112043568,0.00030832726227237234
가치세,0.00012435081623241888,4.016664631498164e-05,0.0,0.0
가치주,4.9245416291426454e-05,2.7105103381219335e-05,8.561548746132147e-06,0.0
가칭,0.00031203295387997507,0.00022613062286488104,0.00016663780627432256,5.602053406387692e-05
가카,0.0,0.00021239278434060128,3.6239457354033e-05,0.0
가타부타,8.612122832422576e-07,0.0,0.0,9.388294090914737e-05
가택,2.2782685048093565e-05,0.0,0.0,0.0
가톨릭,0.000830825346993996,0.0012669741383807415,0.001251615666517503,0.0006479354952451173
가톨릭관동,2.61638077410486e-05,5.980808711503271e-06,0.00011314856644303269,0.00012572435780149993
가톨릭관동대,0.0006796346306730213,0.0005878736278214373,0.0005293419073208526,0.0004973718090621315
가톨릭관동대학교,1.748763695851731e-05,6.058412471973011e-05,7.113658214405021e-05,0.0
가톨릭관동의대,4.980693376688167e-06,1.9471212652555352e-05,0.0,0.0
