,doc_freq,max_section_mean_tfidf,mean_section_mean_tfidf,sticky_score
공동,523,0.002057291353205463,0.0018053160513267002,171.06645706227928
회복,600,0.0025126257516831937,0.00200731447258818,170.81239005108634
유익,608,0.002560169154563333,0.0022654370797530587,170.7784022623423
위기,913,0.004347566595434904,0.003541717707480059,170.73186162457654
제도,1364,0.006995878568941102,0.005683183892641221,170.58788327505016
출신,1023,0.004997595903449808,0.004516113227797848,170.5683437944814
본격,704,0.0031323489219506418,0.0021972255780511947,170.36315502314417
요즘,1479,0.007697333286822943,0.005795665464713983,170.0521241655516
우려,1435,0.007445350222048829,0.005727360646505676,169.9159848046978
한계,469,0.001761141914466375,0.0015333932787879798,169.857259977396
나머지,616,0.0026309199258078985,0.0023216741730574613,169.65397546268852
영향,2009,0.010849267411019313,0.008732994251725556,169.546346648546
안전,828,0.003888247411454778,0.0028730193833544217,169.3858617016239
인정,1081,0.005381998374192186,0.004156833431344634,169.38268182132367
책임,1231,0.006274360088086629,0.005418495679239327,169.22450704853537
사회,2329,0.012764971910183978,0.010096821931611261,169.19758465158185
정치,1989,0.010806862741773653,0.00982182837062064,168.46134688792088
주변,831,0.003933838435235824,0.003501943430048118,168.42870128565133
전국,2271,0.012511480896336143,0.009289264726334323,168.0792814217588
목소리,878,0.004226302863684849,0.003341501442650015,167.99638729336073
시대,1165,0.005935632236301408,0.004871242147126258,167.97315086897748
사진,862,0.004136804682791758,0.0036668086280961538,167.8085995536663
시스템,1492,0.007895479813971915,0.00652034192368333,167.72563495187205
보장,869,0.004183232764239534,0.003170291132928734,167.65598604705855
발견,407,0.001429523922525864,0.0013057695791240738,167.52253238851046
이슈,1627,0.008712177607463642,0.006891793938588874,167.52164815743058
유리,876,0.004231336419719332,0.003807331599708225,167.4524308354458
경영,581,0.002484458617198602,0.0022704552638690093,166.74039322272284
구체,800,0.0037991053929217213,0.0029202890663853117,166.6977352028845
덕분,500,0.0019997158720801386,0.0018796618849708136,166.68245304622045
담당,466,0.0018004594905426628,0.0016706520027292614,166.4012643545507
확장,388,0.0013350812143576927,0.001207833406916586,166.16124424894
특정,602,0.002623844850130612,0.0022708475320209988,166.12190226033064
기억,598,0.0026022219982872415,0.0022585645971603214,166.00864696410514
계획,2229,0.012429385830745356,0.009166551454921477,165.97929556070298
세계,1377,0.007302517325928108,0.005538943646870535,165.85331242847727
신경,547,0.002302290788524296,0.00207045408761241,165.64259025912114
본인,1552,0.008371048904619727,0.007007341098477157,165.6164657549591
상당,439,0.0016511150668108447,0.0015315703128655769,165.59070011551572
방문,1190,0.006192583590264739,0.004481718230739231,165.44819883785314
공식,629,0.002803346847833015,0.0024404069298527386,165.38065687024505
무시,672,0.0030637277940265832,0.0028448452784577295,165.36540685323374
전달,642,0.0028837773613466875,0.002163236734156137,165.30298734152683
비중,700,0.0032346877625690725,0.0028880829064114434,165.30144351784008
가치,739,0.003476421821210557,0.0027366773348903315,165.08721240219324
오후,925,0.0046148631271134095,0.003878497827988546,164.74132655759692
목적,1084,0.005586491489009731,0.004404785605952605,164.57927590262136
참여,1222,0.006426840743193995,0.005317128579067527,164.5383336272356
기관,1235,0.006518591214630279,0.0049182840637390845,164.25949552847584
속도,707,0.003307037893224466,0.002621376408601841,164.14993727178566
종합,1772,0.009802550790253894,0.007978459542972357,164.0353315069535
조정,1270,0.006752214586583371,0.005432737055625454,163.82415448070387
전쟁,650,0.002970082338505868,0.0026033342816000186,163.7245640211649
등장,389,0.0013832654555540054,0.0012434021451836104,163.22143179370443
신뢰,550,0.0023753541882786666,0.002177292423945624,162.9458626623371
정성,742,0.0035538675246019214,0.0031043025564284803,162.93842453505766
해외,862,0.004311495541347514,0.0034540678417889063,162.28950834839873
배경,522,0.0022203673774274773,0.0017526144477846256,162.09330763280454
